matter_case_name,start_date,start_admin,start_fiscal_year,agreement_date,close_admin,closed_date,status_result,closure_type,incident_city,incident_state
U.S. V. STATE OF NEW JERSEY,12/1/94,Clinton I,1995,12/30/99,Clinton II,10/26/09,Consent Decree,Consent Decrees,NEWARK,NJ 
TORRANCE POLICE DEPARTMENT,5/1/95,Clinton I,1995,9/14/98,Clinton II,9/14/98,Closed without Agreement,Closed without agreement,TORRANCE,CA 
ADELANTO POLICE DEPARTMENT,6/16/95,Clinton I,1995,9/14/98,Clinton II,9/14/98,Closed without Agreement,Closed without agreement,ADELANTO,CA 
U.S. V. STEUBENVILLE POLICE DEPARTMENT,7/31/95,Clinton I,1995,9/3/97,Clinton II,3/3/05,Consent Decree,Consent Decrees,STEUBENVILLE,OH 
U.S. V. PITTSBURGH POLICE DEPARTMENT,4/11/96,Clinton I,1996,4/16/97,Clinton II,6/16/05,Consent Decree,Consent Decrees,PITTSBURGH,PA 
ILLINOIS STATE POLICE,4/15/96,Clinton I,1996,9/27/02,Bush I,9/27/02,Closed without Agreement,Closed without agreement,CHICAGO,IL 
NEW ORLEANS POLICE DEPARTMENT,4/15/96,Clinton I,1996,3/23/04,Bush I,3/23/04,Closed without Agreement,Closed without agreement,NEW ORLEANS,LA 
MONTGOMERY COUNTY POLICE DEPARTMENT (MCNAACP v. MCPD),6/1/96,Clinton I,1996,2/1/00,Clinton II,2/1/05,MOA,Other settlement,MC,MD 
U.S. V. LOS ANGELES POLICE DEPARTMENT,7/31/96,Clinton I,1996,6/15/01,Bush I,5/16/13,Consent Decree,Consent Decrees,LOS ANGELES,CA 
BEVERLY HILLS POLICE DEPARTMENT,8/12/96,Clinton I,1996,11/14/00,Clinton II,11/14/00,Closed without Agreement,Closed without agreement,BEVERLY HILLS,CA 
NEW YORK CITY POLICE DEPARTMENT (EASTERN DISTRICT),8/21/97,Clinton II,1997,12/23/04,Bush I,12/23/04,Closed without Agreement,Closed without agreement,BROOKLYN,NY 
ORANGE COUNTY SHERIFF'S OFFICE,11/1/97,Clinton II,1998,5/11/01,Bush I,5/11/01,Closed without Agreement,Closed without agreement,ORLANDO,FL 
BUFFALO POLICE DEPARTMENT,12/9/97,Clinton II,1998,9/19/02,Bush I,7/8/08,MOA,Other settlement,BUFFALO,NY 
"U.S. V. CITY OF COLUMBUS, OHIO ",3/13/98,Clinton II,1998,9/1/02,Bush I,5/14/04,MOA/LETTER AGREEMENT RESOLVING LITIGATION,Other settlement,COLUMBUS,OH 
